url,battleneturl
http://eu.battle.net/sc2/en/profile/4234852/1/First/,53
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,29
http://eu.battle.net/sc2/en/profile/3401218/1/Welmu/,35
http://eu.battle.net/sc2/en/profile/2896854/1/MÇ‚ForGG/,24
http://eu.battle.net/sc2/en/profile/3538115/1/Golden/,40
http://eu.battle.net/sc2/en/profile/250458/1/VortiX/,17
http://eu.battle.net/sc2/en/profile/3973341/1/yoeFWSan/,49
http://eu.battle.net/sc2/en/profile/2452136/1/MinChul/,16
http://eu.battle.net/sc2/en/profile/2222468/1/dTefel/,11
http://eu.battle.net/sc2/en/profile/4341883/1/Patience/,54
http://eu.battle.net/sc2/en/profile/950504/1/Grubby/,61
http://eu.battle.net/sc2/en/profile/2898004/1/MMA/,25
http://eu.battle.net/sc2/en/profile/251061/1/LiveZerg/,18
http://eu.battle.net/sc2/en/profile/1021189/1/Dayshi/,0
http://eu.battle.net/sc2/en/profile/326029/1/LiquidTLO/,32
http://eu.battle.net/sc2/en/profile/1058669/1/Happy/,2
http://eu.battle.net/sc2/en/profile/1139573/1/BabyKnight/,3
http://eu.battle.net/sc2/en/profile/2115876/1/FireCake/,9
http://eu.battle.net/sc2/en/profile/3368730/1/ToD/,34
http://eu.battle.net/sc2/en/profile/1143713/1/uThermal/,4
http://eu.battle.net/sc2/en/profile/3090974/1/IMMvp/,30
http://eu.battle.net/sc2/en/profile/4064798/1/yoda/,50
http://eu.battle.net/sc2/en/profile/2383348/1/LiquidBunny/,13
http://eu.battle.net/sc2/en/profile/4149248/1/JJAKJI/,52
http://eu.battle.net/sc2/en/profile/3010872/1/FnticHarstem/,28
http://eu.battle.net/sc2/en/profile/884897/1/LiquidSnute/,60
http://eu.battle.net/sc2/en/profile/2526293/1/Krr/,20
http://eu.battle.net/sc2/en/profile/315813/1/dBlinG/,31
http://eu.battle.net/sc2/en/profile/377576/1/LiquidMaNa/,44
http://eu.battle.net/sc2/en/profile/2101268/1/Stephano/,8
http://eu.battle.net/sc2/en/profile/284466/1/EGDeMusliM/,23
http://eu.battle.net/sc2/en/profile/788178/1/Nerchio/,59
http://eu.battle.net/sc2/en/profile/219517/1/TargA/,10
http://eu.battle.net/sc2/en/profile/1430346/1/ShoWTimE/,6
http://eu.battle.net/sc2/en/profile/239335/1/NightEnD/,15
http://eu.battle.net/sc2/en/profile/377903/1/Starbuck/,45
http://eu.battle.net/sc2/en/profile/2639840/1/Miniraser/,21
http://eu.battle.net/sc2/en/profile/2910724/1/Lilbow/,26
http://eu.battle.net/sc2/en/profile/498165/1/EmpireKas/,58
http://eu.battle.net/sc2/en/profile/1173786/1/VPbenQsLivko/,5
http://eu.battle.net/sc2/en/profile/349650/1/HasuObs/,38
http://eu.battle.net/sc2/en/profile/2048063/1/AcerBly/,7
http://eu.battle.net/sc2/en/profile/2385865/1/elfi/,14
http://eu.battle.net/sc2/en/profile/3437681/1/Lambo/,37
http://eu.battle.net/sc2/en/profile/3971497/1/Genius/,48
http://us.battle.net/sc2/en/profile/4665241/1/Pigbaby/,177
http://us.battle.net/sc2/en/profile/3502513/1/LiquidTaeJa/,157
http://us.battle.net/sc2/en/profile/4417787/1/HyuN/,169
http://us.battle.net/sc2/en/profile/3179642/1/CMStormPolt/,151
http://us.battle.net/sc2/en/profile/4174681/1/AxAlicia/,165
http://us.battle.net/sc2/en/profile/3985949/1/Bomber/,163
http://us.battle.net/sc2/en/profile/3202227/1/viOLet/,152
http://us.battle.net/sc2/en/profile/4167590/1/AxHeart/,164
http://kr.battle.net/sc2/en/profile/1178662/2/llllllllllll/,64
http://us.battle.net/sc2/en/profile/3085708/1/SadArthur/,150
http://us.battle.net/sc2/en/profile/902213/1/Suppy/,188
http://us.battle.net/sc2/en/profile/5393959/1/Sen/,184
http://us.battle.net/sc2/en/profile/4580578/1/ZooCourage/,171
http://us.battle.net/sc2/en/profile/3949344/1/WinDy/,162
http://us.battle.net/sc2/en/profile/3817071/1/iGMacSed/,159
http://us.battle.net/sc2/en/profile/558433/1/Illusion/,186
http://us.battle.net/sc2/en/profile/4589387/1/ToodmingCN/,174
http://us.battle.net/sc2/en/profile/3948354/1/hendralisk/,161
http://kr.battle.net/sc2/en/profile/3488858/1/EGJD/,132
http://kr.battle.net/sc2/en/profile/1126978/2/iGJim/,63
http://us.battle.net/sc2/en/profile/4580957/1/iGJim/,172
http://kr.battle.net/sc2/en/profile/2240191/1/Heart/,65
http://kr.battle.net/sc2/en/profile/4529934/1/SpiderCheck/,134
http://kr.battle.net/sc2/en/profile/1106851/2/IlIlIlllIIll/,62
http://us.battle.net/sc2/en/profile/5376901/1/SpiderCheck/,183
http://us.battle.net/sc2/en/profile/2537456/1/Neeb/,141
http://us.battle.net/sc2/en/profile/2735594/1/coLqxc/,146
http://us.battle.net/sc2/en/profile/3426440/1/llllllllllll/,156
http://us.battle.net/sc2/en/profile/2553612/1/puCK/,143
http://us.battle.net/sc2/en/profile/3650249/1/CranK/,158
http://us.battle.net/sc2/en/profile/2133676/1/aloOla/,138
http://us.battle.net/sc2/en/profile/2541852/1/MaSa/,142
http://us.battle.net/sc2/en/profile/5142993/1/Bomber/,182
http://us.battle.net/sc2/en/profile/2575821/1/HuK/,144
http://us.battle.net/sc2/en/profile/3301677/1/CMRevival/,153
http://us.battle.net/sc2/en/profile/1317068/1/LiquidHerO/,135
http://us.battle.net/sc2/en/profile/3819890/1/shofu/,160
http://us.battle.net/sc2/en/profile/4629528/1/IMNesTea/,176
http://us.battle.net/sc2/en/profile/4819996/1/iGXiGua/,179
http://us.battle.net/sc2/en/profile/3426440/1/PkDOz/,155
http://kr.battle.net/sc2/en/profile/4324250/1/Kane/,133
http://us.battle.net/sc2/en/profile/1640778/1/Guitarcheese/,136
http://us.battle.net/sc2/en/profile/4176016/1/iaguz/,166
http://us.battle.net/sc2/en/profile/2331025/1/Scarlett/,140
http://us.battle.net/sc2/en/profile/4609532/1/aLive/,175
http://us.battle.net/sc2/en/profile/2821952/1/KingkOng/,148
http://us.battle.net/sc2/en/profile/5068246/1/yoeFWSlam/,180
http://us.battle.net/sc2/en/profile/443514/1/desRow/,170
http://kr.battle.net/sc2/en/profile/2342419/1/soO/,86
http://kr.battle.net/sc2/en/profile/2342343/1/Solar/,85
http://kr.battle.net/sc2/en/profile/2343479/1/True/,100
http://kr.battle.net/sc2/en/profile/2332264/1/Zest/,66
http://kr.battle.net/sc2/en/profile/2343012/1/Maru/,95
http://kr.battle.net/sc2/en/profile/2342120/1/Soulkey/,80
http://kr.battle.net/sc2/en/profile/2348639/1/ParalyzE/,131
http://kr.battle.net/sc2/en/profile/2341467/1/Classic/,73
http://kr.battle.net/sc2/en/profile/2344333/1/Leenock/,120
http://kr.battle.net/sc2/en/profile/2334376/1/INnoVation/,70
http://kr.battle.net/sc2/en/profile/2343484/1/herO/,101
http://kr.battle.net/sc2/en/profile/2343733/1/sOs/,106
http://kr.battle.net/sc2/en/profile/2342794/1/Shine/,92
http://kr.battle.net/sc2/en/profile/2344230/1/YongHwa/,117
http://kr.battle.net/sc2/en/profile/2343882/1/SuperNova/,108
http://kr.battle.net/sc2/en/profile/2342766/1/ByuL/,89
http://kr.battle.net/sc2/en/profile/2341492/1/PartinG/,74
http://kr.battle.net/sc2/en/profile/2333068/1/DRG/,67
http://kr.battle.net/sc2/en/profile/2344428/1/MyuNgSiK/,122
http://kr.battle.net/sc2/en/profile/2342147/1/hydra/,81
http://kr.battle.net/sc2/en/profile/2344987/1/Life/,128
http://kr.battle.net/sc2/en/profile/2342269/1/Savage/,82
http://kr.battle.net/sc2/en/profile/2343067/1/Stork/,96
http://kr.battle.net/sc2/en/profile/2343263/1/Ruin/,99
http://kr.battle.net/sc2/en/profile/2344207/1/Symbol/,116
http://kr.battle.net/sc2/en/profile/2343607/1/Rain/,105
http://kr.battle.net/sc2/en/profile/2343240/1/Trap/,98
http://kr.battle.net/sc2/en/profile/2344407/1/Ragnarok/,121
http://kr.battle.net/sc2/en/profile/2344476/1/Dark/,123
http://kr.battle.net/sc2/en/profile/2341700/1/Bbyong/,77
http://kr.battle.net/sc2/en/profile/2333312/1/TAiLS/,68
http://kr.battle.net/sc2/en/profile/2342785/1/FanTaSy/,90
http://kr.battle.net/sc2/en/profile/2341765/1/Billowy/,78
http://kr.battle.net/sc2/en/profile/2340350/1/hitmaN/,71
http://kr.battle.net/sc2/en/profile/2343531/1/Action/,102
http://kr.battle.net/sc2/en/profile/2342923/1/Squirtle/,93
http://kr.battle.net/sc2/en/profile/2343979/1/Pet/,111
http://kr.battle.net/sc2/en/profile/2342491/1/TYTY/,87
http://kr.battle.net/sc2/en/profile/2344602/1/Choya/,124
http://kr.battle.net/sc2/en/profile/2344728/1/Shine/,126
http://kr.battle.net/sc2/en/profile/2343852/1/flash/,107
http://kr.battle.net/sc2/en/profile/2342671/1/Panic/,88
http://kr.battle.net/sc2/en/profile/2344285/1/Stats/,119
http://kr.battle.net/sc2/en/profile/2344079/1/Curious/,113
http://kr.battle.net/sc2/en/profile/2344252/1/Reality/,118
http://kr.battle.net/sc2/en/profile/2343910/1/Journey/,109
http://kr.battle.net/sc2/en/profile/2341575/1/Dear/,76
http://kr.battle.net/sc2/en/profile/2342983/1/Super/,94
http://kr.battle.net/sc2/en/profile/2344031/1/Cure/,112
http://kr.battle.net/sc2/en/profile/2342294/1/Impact/,83
http://kr.battle.net/sc2/en/profile/2341466/1/sora/,72
http://kr.battle.net/sc2/en/profile/2345126/1/RorO/,130
http://eu.battle.net/sc2/en/profile/1058669/1/EmpireHappy/,1
http://eu.battle.net/sc2/en/profile/251061/1/roxkisLZ/,19
http://eu.battle.net/sc2/en/profile/3880481/1/AllianceNani/,46
http://eu.battle.net/sc2/en/profile/2383348/1/Bunny/,12
http://eu.battle.net/sc2/en/profile/2978202/1/LiquidTaeJa/,27
http://eu.battle.net/sc2/en/profile/3746323/1/HyuN/,43
http://eu.battle.net/sc2/en/profile/3611718/1/CMStormPolt/,42
http://eu.battle.net/sc2/en/profile/3311551/1/CMRevival/,33
http://eu.battle.net/sc2/en/profile/3886231/1/OzOz/,47
http://eu.battle.net/sc2/en/profile/3533538/1/Arthur/,39
http://eu.battle.net/sc2/en/profile/4863808/1/Bomber/,57
http://eu.battle.net/sc2/en/profile/4085747/1/Alicia/,51
http://us.battle.net/sc2/en/profile/789884/1/SeleCT/,187
http://us.battle.net/sc2/en/profile/288081/1/Minigun/,149
http://us.battle.net/sc2/en/profile/4585632/1/ZooTop/,173
http://us.battle.net/sc2/en/profile/2575821/1/HuKRC/,145
http://us.battle.net/sc2/en/profile/5495016/1/Has/,185
http://us.battle.net/sc2/en/profile/4669755/1/ByuL/,178
http://us.battle.net/sc2/en/profile/3301677/1/Revival/,154
http://us.battle.net/sc2/en/profile/4408675/1/TheStC/,168
http://us.battle.net/sc2/en/profile/5087767/1/OzOz/,181
http://eu.battle.net/sc2/en/profile/2685580/1/CranK/,22
http://eu.battle.net/sc2/en/profile/4860568/1/iGXiGua/,56
http://eu.battle.net/sc2/en/profile/4854541/1/ZooToodming/,55
http://eu.battle.net/sc2/en/profile/3434150/1/llllllllllll/,36
http://eu.battle.net/sc2/en/profile/3585588/1/llllllllll/,41
http://us.battle.net/sc2/en/profile/4352638/1/Tassadar/,167
http://us.battle.net/sc2/en/profile/2192180/1/PiG/,139
http://us.battle.net/sc2/en/profile/2060165/1/Astrea/,137
http://us.battle.net/sc2/en/profile/2768741/1/CatZ/,147
http://kr.battle.net/sc2/en/profile/2343531/1/DREAM/,103
http://kr.battle.net/sc2/en/profile/2334176/1/GuMiho/,69
http://kr.battle.net/sc2/en/profile/2344780/1/Sleep/,127
http://kr.battle.net/sc2/en/profile/2341920/1/CoCa/,79
http://kr.battle.net/sc2/en/profile/2341545/1/Hack/,75
http://kr.battle.net/sc2/en/profile/2343559/1/Trust/,104
http://kr.battle.net/sc2/en/profile/2344081/1/BravO/,114
http://kr.battle.net/sc2/en/profile/2344728/1/Ryung/,125
http://kr.battle.net/sc2/en/profile/2344151/1/Seed/,115
http://kr.battle.net/sc2/en/profile/2342789/1/sKyHigh/,91
http://kr.battle.net/sc2/en/profile/2345102/1/Hurricane/,129
http://kr.battle.net/sc2/en/profile/2342299/1/KeeN/,84
http://kr.battle.net/sc2/en/profile/2343910/1/effort/,110
http://kr.battle.net/sc2/en/profile/2343183/1/Shine/,97
http://xx.battle.net/sc2/en/profile/415/1/EGJD/,199
http://xx.battle.net/sc2/en/profile/404/1/sOs/,191
http://xx.battle.net/sc2/en/profile/402/1/Dear/,190
http://xx.battle.net/sc2/en/profile/408/1/Polt/,195
http://xx.battle.net/sc2/en/profile/414/1/ducKDeoK/,198
http://xx.battle.net/sc2/en/profile/413/1/Maru/,197
http://xx.battle.net/sc2/en/profile/406/1/INnoVation/,193
http://xx.battle.net/sc2/en/profile/410/1/STBomber/,196
http://xx.battle.net/sc2/en/profile/407/1/NaNiwa/,194
http://xx.battle.net/sc2/en/profile/401/1/Soulkey/,189
http://xx.battle.net/sc2/en/profile/405/1/MMA/,192
